site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
arca,https://arca.live/b/hotdeal/109003922?p=6,18,MANLI 지포스 RTX 4080 SUPER Polar Fox D6X 16GB White,51,티몬,"1,148,409원",무료,PC제품,2024-06-16 16:50,사랑,5567
arca,https://arca.live/b/hotdeal/109003749?p=6,6,햇반 210g 48입,8,티몬,"33,489원",무료,먹거리,2024-06-16 16:47,KKK,1222
arca,https://arca.live/b/hotdeal/109002970?p=6,2,"COLORFUL iGame 지포스 RTX 4070 Ti SUPER Vulcan, 용칸",11,티몬,"1,064,700원",무료,PC제품,2024-06-16 16:31,사랑,3672
arca,https://arca.live/b/hotdeal/109002761?p=6,16,삼성전자 오디세이 G5 S32AG520,80,알리익스프레스,"269,102원",무료,PC제품,2024-06-16 16:27,IFRT,5930
arca,https://arca.live/b/hotdeal/109002453?p=6,2,베트남 이지오픈 생 코코넛 9kg (9과),10,위메프,"16,900원",무료,먹거리,2024-06-16 16:21,KKK,1352
arca,https://arca.live/b/hotdeal/109002370?p=7,1,jbl flib 6 외,11,알리,"82,241원",무료,가전제품,2024-06-16 16:20,CrouchingWriter,2524
arca,https://arca.live/b/hotdeal/109001518?p=7,5,7Hz X Crinacle Zero 2,45,알리익스프레스,$14.4,무료,가전제품,2024-06-16 16:06,히스아,3448
arca,https://arca.live/b/hotdeal/109000800?p=7,9,콰트로치즈와퍼세트,14,버거킹,"6,900원",무료,먹거리,2024-06-16 15:55,포인트_게임만_함,3668
arca,https://arca.live/b/hotdeal/109000291?p=7,6,비비고사골곰탕 500g 18개,19,알리,"9,999원",무료,먹거리,2024-06-16 15:48,ㅇㅇ,1250
arca,https://arca.live/b/hotdeal/108999472?p=7,2,활성탄 에어컨필터 PM2.5 3개 외,2,위메프,"10,630원",무료,기타,2024-06-16 15:35,ㅇㅇ,1741
arca,https://arca.live/b/hotdeal/108999081?p=7,4,[네이버페이] 7800X3D (멀티팩(정품)),26,알리,"420,824원",무료,PC제품,2024-06-16 15:30,유키민,4206
arca,https://arca.live/b/hotdeal/108998965?p=7,2,"KingBank PC 데스크탑 CL32 용 RGB 램 메모리, DDR5 48GB x 2 6400MHZ 96GB",15,알리익스프레스,$257.68,무료,PC제품,2024-06-16 15:29,미오프리체,3022
arca,https://arca.live/b/hotdeal/108998815?p=7,10,GIGABYTE 지포스 RTX 4070 SUPER Gaming OC D6X 12GB 제이씨현,53,알리익스프레스,"768,112원",무료,PC제품,2024-06-16 15:27,키아나,5243
arca,https://arca.live/b/hotdeal/108998575?p=7,3,나주 세지농협 멜론 5.2KG 왕대과,12,위메프,"17,900원",무료,먹거리,2024-06-16 15:24,ㅇㅇ,960
arca,https://arca.live/b/hotdeal/108998569?p=7,4,티젠 자몽 아이스티 50스틱,10,알리익스프레스,"11,685원",무료,먹거리,2024-06-16 15:23,챠배,1004
arca,https://arca.live/b/hotdeal/108998530?p=7,11,플레이보이 남녀 드로즈 10매 세트 삼카,12,롯데온,"22,250원",무료,의류,2024-06-16 15:23,ㅇㅇ,2462
arca,https://arca.live/b/hotdeal/108998432?p=7,3,심플쿡 냉동밥 전자렌지 용기 (400ml) 16개,7,위메프,"4,790원",무료,생활용품,2024-06-16 15:22,ㅇㅇ,1614
arca,https://arca.live/b/hotdeal/108998278?p=7,1,비타민C 골드 프리미엄 70포,3,위메프,"8,890원",무료,먹거리,2024-06-16 15:20,ㅇㅇ,515
arca,https://arca.live/b/hotdeal/108997657?p=7,4,"{ASROCK 공식판매점} B650M PRO RS *국내정품,국내발송*",30,알리,"138,282원",무료,PC제품,2024-06-16 15:12,유키민,3009
arca,https://arca.live/b/hotdeal/108995406?p=7,1,여름용 무지 발목양말 20켤레,8,인터파크쇼핑,"9,440원",무료,의류,2024-06-16 14:50,디카운티,1910
arca,https://arca.live/b/hotdeal/108994818?p=7,1,국민 마스터 카드 USD 결제시 액티비티 상품 15% 할인,6,클룩,0원,무료,기타,2024-06-16 14:43,라그랑주,1439
arca,https://arca.live/b/hotdeal/108993130?p=7,33,알리익스프레스 2024여름세일정보,41,알리익스프레스,0원,무료,기타,2024-06-16 14:21,ㅇㅇ,9515
arca,https://arca.live/b/hotdeal/108987702?p=7,9,켈로그 후르트링 530g 3개,20,11번가,"12,900원",무료,먹거리,2024-06-16 13:13,르큐브릿,2716
arca,https://arca.live/b/hotdeal/108985620?p=7,5,안성탕면 + 너구리 20봉 / 신안너짜 가챠팩,19,지마켓,"11,950원",무료,먹거리,2024-06-16 12:47,킬리안,2314
arca,https://arca.live/b/hotdeal/108981531?p=7,3,벨런스온 베타젤 방석,45,쿠팡,"68,240원",무료,생활용품,2024-06-16 11:57,머그컵,5398
arca,https://arca.live/b/hotdeal/108977064?p=7,12,푸마 바디웨어 남성 퍼포먼스 멀티 이너 반팔티셔츠,52,폰드그룹,"3,950원","3,000원",의류,2024-06-16 11:00,ㅇㅇ,5913
arca,https://arca.live/b/hotdeal/108976436?p=7,3,굽네 소스함박스테이크 18팩,16,위메프,"26,980원",무료,먹거리,2024-06-16 10:52,ㅇㅇ,3075
arca,https://arca.live/b/hotdeal/108961781?p=7,59,6/20 20시 예정) 구글 플레이 x 넥슨 기프트카드 10%+a,53,네이버,"100,000원",무료,모바일/상품권,2024-06-16 07:24,ㅇㅇ,14978
arca,https://arca.live/b/hotdeal/108961636?p=7,4,P01브루클린 피그먼트 반팔티 1+1(2벌),14,하이버,"33,830원",무료,의류,2024-06-16 07:22,ㅇㅇ,4087
arca,https://arca.live/b/hotdeal/108953171?p=7,10,코카콜라 텀블러 + 코카콜라 제로 355ml 24개 증정,53,롯데온,"16,850원",무료,먹거리,2024-06-16 05:07,킬리안,8086
arca,https://arca.live/b/hotdeal/108952603?p=7,13,대추방울토마토 1~2번 로얄과 5kg,14,네이버,"18,800원",무료,먹거리,2024-06-16 04:57,와투와튜,2119
arca,https://arca.live/b/hotdeal/108951126?p=7,11,"카카오, 토스 12,901원 / 첫출하 파격가 햇 털복숭아4kg 외 신비/천도 종류별 골라담기",38,티몬,"13,580원",무료,먹거리,2024-06-16 04:30,바트심슨,5174
arca,https://arca.live/b/hotdeal/108946200?p=7,10,"블루다이아몬드 아몬드 브리즈 뉴트리플러스 프로틴, 190ml, 24개",32,쿠팡와우,"12,980원",무료,먹거리,2024-06-16 02:59,별님미리내,4422
