site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
fm,https://www.fmkorea.com/7141114072,7,"네멤 니베아 공홈 쉐이빙,립밤,선케어,핸드크림등 종류별 오늘만",7,네이버,"8,710~",무료,생활용품,2024-06-14 00:00,foldings
fm,https://www.fmkorea.com/7141091742,4,고평량 82g 골드퍼플 70매 20팩 캡형물티슈(토스),7,오늘의집,"16,920원",무료,생활용품,2024-06-14 00:00,꿀게터
fm,https://www.fmkorea.com/7141111073,2,"롯데 칙촉 오리지널, 168g, 2개",6,쿠팡,"4,870원",무료,먹거리,2024-06-14 00:00,모구링
fm,https://www.fmkorea.com/7141099687,3,"엘반 폰단테 밀크향 토피 초콜릿, 150g, 3개",3,쿠팡,"4,500원",무료,먹거리,2024-06-14 00:00,나그파
fm,https://www.fmkorea.com/7141088087,-9,국내산 열무김치 3kg 농카,2,위메프,"11,790원",무료,먹거리,2024-06-14 00:00,제발그만해줘
fm,https://www.fmkorea.com/7141080344,2,더존건강 한끼 곤약젤리 버라이어티팩 15종 x 2팩 1박스,0,Ak몰,"15,580원",무료,먹거리,2024-06-14 00:00,롤리뿌웅
fm,https://www.fmkorea.com/7141071556,-10,제주 초당옥수수 10개입 15cm 이상 특품 (농협카드),25,위메프,"16,900원",무료,먹거리,2024-06-14 00:00,우주선미
fm,https://www.fmkorea.com/7140278746,6,(고디바 1+1) 더블 초콜릿 소프트아이스크림 (와플콘),35,11번가,"7,800원",무료,먹거리,2024-06-14 00:00,목성
fm,https://www.fmkorea.com/7140261710,13,한돈 돼지갈비찜용 고기 1kg,32,알리,"9,962원",무료,먹거리,2024-06-14 00:00,나그파
fm,https://www.fmkorea.com/7138455500,2,돌핀 폴라레티 후르츠 400ml 3팩 + 해피썸머 400ml 3팩,7,티몬,"토스9,975",0원,먹거리,2024-06-14 00:00,히트만
fm,https://www.fmkorea.com/7140224556,16,프린트스타 7.4oz 라운드 오버핏 무지 반팔티 2장,39,롯데온,"17,940원",무료,의류,2024-06-14 00:00,슈빵이여
fm,https://www.fmkorea.com/7140248003,13,완도 활전복 1kg 7-8미,19,위메프,"24,760원",무료,먹거리,2024-06-14 00:00,제발그만해줘
fm,https://www.fmkorea.com/7140202402,2,액츠 클린젤 세탁세제 3.1L x 3개 + 피죤 고농축 50mL x 2개,2,위메프,"13,210원",무료,생활용품,2024-06-14 00:00,스셍님
fm,https://www.fmkorea.com/7140214167,1,농협안심한우 암소 1등급 등심 500g + 500g (총1kg),1,위메프,"39,870원",무료,먹거리,2024-06-14 00:00,케이2
fm,https://www.fmkorea.com/7140212170,54,에픽게임즈 Redout 2 무료배포,30,에픽게임즈,무료,무료,SW/게임,2024-06-14 00:00,목성
fm,https://www.fmkorea.com/7140209845,7,매직캔 호환 가능 이지캔 정품 250 10롤,5,지마켓,"8,900원",무료,생활용품,2024-06-14 00:00,안녕하삼12
