recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
5,구운란 대란 60구 카카오/토스,15,티몬,"12,690원",무료,먹거리,2024.06.07,Impopy
8,MSI 40인치 게이밍 모니터,36,티몬,"토스432,981원",무료,PC제품,2024.06.07,g__gwow
5,하림 텐더스틱 300g 1+1+1+1 총 4봉,8,위메프,"카드11,940",0원,먹거리,2024.06.07,히트만
17,뮤지컬 시카고,39,위메프,"최저64,000원",무료,패키지/이용권,2024.06.07,장모치와와
1,베이킹소다 버킷5kg+계량스푼,1,gs샵,"9,900원",무료,생활용품,2024.06.07,꼬소하이쳐직이노
10,와우) 코코아 트러플스 초콜릿,36,쿠팡,"2,840원",와우,먹거리,2024.06.07,밤의아이
-4,해남 햇 양파 10kg 장아찌용,6,위메프,"9,950원",무료,먹거리,2024.06.07,종말의늪
5,바리스타룰스 컵커피 250ml/325ml 10개,25,티몬,"13,932원",무료,먹거리,2024.06.07,본인:
41,고디바 더블 초콜릿 소프트 아이스크림(와플콘) 1+1,118,지마켓,"7,800원",0원,모바일/상품권,2024.06.07,히트만
11,완숙토마토 3kg,24,위메프,"9,780원",무료,먹거리,2024.06.07,제발그만해줘
24,귀여운 아기 상어 PBT 체리키캡 한국어 131키,64,알리익스프레스,"12,950원",무배,PC제품,2024.06.07,토요토리
6,야심찬 함흥냉면 물냉10인분(육수10봉),11,티몬,"9,350원",무료,먹거리,2024.06.07,망고용과
24,NICEHCK X39 IEM 이어폰,107,알리,308원,무료,PC제품,2024.06.07,밤의아이
139,주차도 못하네,70,스팀,"2,150원",무료,SW/게임,2024.06.07,5만원
12,더미식 육즙고기교자 350g x 4봉 + 장인라면 얼큰핫맛 2개,13,위메프,"10,790원",무료,먹거리,2024.06.07,우니짱
3,크린랲 건전지 32+2알 2세트 카카오/토스,1,티몬,"12,474원",무료,생활용품,2024.06.07,종말의늪
20,갤럭시탭s8 울트라 wifi 그래파이트,73,티몬,"828,108원",무료,PC제품,2024.06.07,토요토리
9,홈매트 그린에디션 기계 1입+리필 150매,18,롯데온,"12,900원",무료,생활용품,2024.06.07,초코수박
8,나랑드 화이트 콤부차 제로 400ml x 24개,28,떠리몰,"9,900원",무료,먹거리,2024.06.07,나그파
-9,벨킨 3 in 1 맥세이프 15W 충전기 패드,12,11마존,"128,680원",무료,가전제품,2024.06.07,하마융털
